accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
4,1.5,2,1,2,1,52.35638782,4.902029912,3,5,2.539912645,1,0,1,0,0
2,1.5,1,3,1,3,52.3529324,4.907024532,1,49,2.962913087,1,0,0,1,0
6,1,4,1,5,2,52.35461006,4.875478439,4,8,3.178313055,1,0,1,0,0
2,1,1,1,1,1,52.37659767,4.845038518,2,3,3.701010559,1,0,1,0,0
16,2,10,2,16,2,52.36868586,4.918737993,2,54,1.754404277,1,0,1,0,0
2,1,1,1,1,1,52.37496416,4.874447524,4,16,1.758645589,1,0,1,0,0
4,1,1,1,2,1,52.3522831,4.896790242,2,4,2.995285605,1,0,1,0,0
4,1,3,1,1,1,52.3511854,4.853867442,3,1,4.386673842,1,0,1,0,0
2,1,1,1,1,1,52.36440369,4.927301161,3,14,2.504977747,1,0,1,0,0
2,1,1,1,1,1,52.34771328,4.846642595,2,0,5.006593534,1,0,1,0,0
4,1,3,1,1,1,52.36564581,4.860047827,2,20,3.066639613,1,0,1,0,0
3,1,1,1,2,1,52.37833924,4.894409818,4,24,0.353459456,1,0,1,0,0
6,1,3,1,1,1,52.35478868,4.994709679,3,1,7.010554149,1,0,1,0,0
4,2,2,1,1,1,52.37525114,4.857926854,4,1,2.849338353,1,0,1,0,0
3,1,1,1,1,1,52.34913068,4.847203487,2,0,4.870041575,1,0,1,0,0
2,1,1,1,1,1,52.37455526,4.897903642,2,1,0.525246363,1,0,1,0,0
5,2,3,1,1,1,52.34799844,5.009528648,5,6,8.235901563,1,0,1,0,0
2,1,0,5,1,5,52.37570976,4.878779287,1,14,1.453324196,0,1,1,0,0
4,1,3,1,1,1,52.36021141,4.852577871,4,10,3.814845939,1,0,1,0,0
3,1,1,1,3,1,52.37069425,4.86619991,2,5,2.444084011,1,0,1,0,0
2,1,1,1,1,1,52.38244726,4.876724806,3,10,1.582191179,1,0,1,0,0
